Date,Player_1,Player_2,player_1_wins,Rank_1,Rank_2,rank_diff,rank_ratio,log_rank_diff,Surface_Clay,Surface_Grass,Surface_Hard,Round_2nd Round,Round_3rd Round,Round_4th Round,Round_Quarterfinals,Round_Round Robin,Round_Semifinals,Round_The Final,Series_ATP500,Series_Grand Slam,Series_International,Series_International Gold,Series_Masters,Series_Masters 1000,Series_Masters Cup,Court_Outdoor,Best of_5
2000-01-03,Norman M.,Fromberg R.,1,15,81,-66,0.18518518518518517,-1.6341305250244722,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Sekulov J.,Martin A.,0,142,55,87,2.581818181818182,0.9374929395247573,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Vinck C.,Stoltenberg J.,0,227,84,143,2.7023809523809526,0.9866943724641244,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Enqvist T.,Grosjean S.,1,5,26,-21,0.19230769230769232,-1.5040773967762742,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Henman T.,Escude N.,0,11,40,-29,0.275,-1.2286654169163076,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Hewitt L.,Stoltenberg J.,1,24,84,-60,0.2857142857142857,-1.223775431622116,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Martin A.,Norman M.,0,55,15,40,3.6666666666666665,1.2527629684953685,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Enqvist T.,Norman M.,1,5,15,-10,0.3333333333333333,-0.9808292530117262,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
2000-01-03,Escude N.,Hewitt L.,0,40,24,16,1.6666666666666667,0.4946962418361074,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
2000-01-03,Hewitt L.,Enqvist T.,1,24,5,19,4.8,1.4271163556401456,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
2000-01-03,Behrend T.,Popp A.,1,116,124,-8,0.9354838709677419,-0.06613980250454521,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Delgado J.,Black B.,1,162,67,95,2.417910447761194,0.8742424956306554,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Hantschk M.,Tieleman L.,1,128,89,39,1.4382022471910112,0.3600027340314069,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Ishii Y.,Vanek J.,0,238,160,78,1.4875,0.3950591869470479,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Ketola T.,Ogorodov O.,1,163,135,28,1.2074074074074075,0.1872115420881464,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Kilderry P.,Stanoytchev O.,0,342,111,231,3.081081081081081,1.1192315758708453,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Kroslak J.,Jonsson F.,0,103,127,-24,0.8110236220472441,-0.2076393647782444,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Kumar S.,Agenor R.,0,1198,94,1104,12.74468085106383,2.5353662634269734,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Paes L.,Boutter J.,1,145,137,8,1.0583941605839415,0.05635293655113127,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Ram A.,Pioline C.,0,414,14,400,29.571428571428573,3.320228319128488,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Rochus C.,Damm M.,0,120,104,16,1.1538461538461537,0.14183019543921827,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Sanguinetti D.,Voinea A.,1,121,100,21,1.21,0.18890052789199707,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Spottl M.,Golmard J.,0,200,38,162,5.2631578947368425,1.6397432619294294,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Tabara M.,Kafelnikov Y.,1,125,2,123,62.5,3.737669618283368,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Vinciguerra A.,Lopez-Moron A.,1,99,113,-14,0.8761061946902655,-0.13102826240640386,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Zib T.,Manta L.,0,115,117,-2,0.9829059829059829,-0.01709443335930061,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Agenor R.,Damm M.,0,94,104,-10,0.9038461538461539,-0.10008345855698231,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Delgado J.,Stanoytchev O.,1,162,111,51,1.4594594594594594,0.3752513295116682,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Hantschk M.,Behrend T.,1,128,116,12,1.103448275862069,0.09763846956391564,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Jonsson F.,Golmard J.,0,127,38,89,3.3421052631578947,1.1884686177899706,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Manta L.,Tabara M.,1,117,125,-8,0.936,-0.06559728248581287,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Paes L.,Pioline C.,0,145,14,131,10.357142857142858,2.2755564206061263,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Sanguinetti D.,Vinciguerra A.,1,121,99,22,1.2222222222222223,0.19885085874516495,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Vanek J.,Ketola T.,0,160,163,-3,0.9815950920245399,-0.018462062839735616,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Golmard J.,Delgado J.,1,38,162,-124,0.2345679012345679,-1.430188554677116,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Ketola T.,Hantschk M.,0,163,128,35,1.2734375,0.2400540234625268,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Manta L.,Damm M.,0,117,104,13,1.125,0.11672427430814203,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Pioline C.,Sanguinetti D.,1,14,121,-107,0.11570247933884298,-2.0959708436310467,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Damm M.,Golmard J.,0,104,38,66,2.736842105263158,0.9903987040278768,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
2000-01-03,Hantschk M.,Pioline C.,1,128,14,114,9.142857142857142,2.151762203259462,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
2000-01-03,Hantschk M.,Golmard J.,0,128,38,90,3.3684210526315788,1.1962507582320256,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
2000-01-03,Arazi H.,Cherkasov A.,0,35,206,-171,0.16990291262135923,-1.7491998548092589,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Bastl G.,Novak J.,1,85,36,49,2.361111111111111,0.843429383609283,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Caratti C.,Heuberger I.,1,211,219,-8,0.9634703196347032,-0.03704127168034965,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Diaz J.,Schalken S.,0,86,44,42,1.9545454545454546,0.6592456288842641,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,El Aynaoui Y.,Dupuis A.,1,33,78,-45,0.4230769230769231,-0.8430873278508599,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Kiefer N.,Tarango J.,1,6,59,-53,0.1016949152542373,-2.148434413166787,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Luxa P.,Gaudio G.,0,174,73,101,2.3835616438356166,0.8607208807193443,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Puerta M.,Mirnyi M.,0,101,74,27,1.364864864864865,0.30748469974796055,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Santoro F.,Burgsmuller L.,1,32,138,-106,0.2318840579710145,-1.4379663716642113,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Schuettler R.,Sanchez J.,1,47,285,-238,0.1649122807017544,-1.7847907999119612,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Siemerink J.,Squillari F.,0,93,49,44,1.8979591836734695,0.6312717768418579,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Tillstrom M.,Ivanisevic G.,1,83,62,21,1.3387096774193548,0.2876820724517808,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Vicente F.,Vacek D.,0,50,39,11,1.2820512820512822,0.24294617861038947,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Bastl G.,Berasategui A.,1,85,60,25,1.4166666666666667,0.343473432080196,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Cherkasov A.,Tillstrom M.,0,206,83,123,2.4819277108433737,0.9019019944220554,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Gaudio G.,El Aynaoui Y.,0,73,33,40,2.212121212121212,0.7777045685880086,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Kiefer N.,Caratti C.,1,6,211,-205,0.02843601895734597,-3.410676125616699,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Marin J.A.,Mirnyi M.,0,71,74,-3,0.9594594594594594,-0.04082199452025481,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Santoro F.,van Lottum J.,1,32,69,-37,0.463768115942029,-0.7519876805828791,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Schuettler R.,Vacek D.,1,47,39,8,1.205128205128205,0.1823215567939549,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Squillari F.,Schalken S.,0,49,44,5,1.1136363636363635,0.10536051565782634,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,El Aynaoui Y.,Tillstrom M.,1,33,83,-50,0.39759036144578314,-0.9044562742271518,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Mirnyi M.,Schuettler R.,0,74,47,27,1.574468085106383,0.446287102628419,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Santoro F.,Bastl G.,1,32,85,-53,0.3764705882352941,-0.9578397347870271,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,Schalken S.,Kiefer N.,0,44,6,38,7.333333333333333,1.8607523407150064,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-03,El Aynaoui Y.,Schuettler R.,0,33,47,-14,0.7021276595744681,-0.3448404862917296,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
2000-01-03,Santoro F.,Kiefer N.,1,32,6,26,5.333333333333333,1.550597412411167,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
2000-01-10,Balcells J.,Squillari F.,1,211,49,162,4.3061224489795915,1.4445632692438664,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Berasategui A.,Martin A.,0,59,48,11,1.2291666666666667,0.20252426411147395,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Bjorkman J.,Novak J.,0,76,38,38,2.0,0.6802437757240378,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Chang M.,Black B.,1,50,70,-20,0.7142857142857143,-0.33085424431698973,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Federer R.,Ferrero J.C.,0,61,45,16,1.3555555555555556,0.2984929885559966,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Gambill J.M.,Fromberg R.,1,57,80,-23,0.7125,-0.33400614412602003,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Gustafsson M.,Nielsen M.,1,60,246,-186,0.24390243902439024,-1.398514472454666,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Hantschk M.,Behrend T.,0,95,115,-20,0.8260869565217391,-0.1892419996385284,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Ivanisevic G.,Schalken S.,0,68,37,31,1.837837837837838,0.596520344870874,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Johansson T.,Weiner G.,1,43,334,-291,0.12874251497005987,-2.029940897906805,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Norman M.,Costa F.,1,14,149,-135,0.09395973154362416,-2.3025850929940455,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Rosset M.,Vicente F.,1,46,53,-7,0.8679245283018868,-0.1388364448542161,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Sargsian S.,Gaudio G.,0,52,72,-20,0.7222222222222222,-0.320167527596269,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Sell M.,Escude N.,1,167,34,133,4.911764705882353,1.5686159179138452,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Tarango J.,Haas T.,0,63,11,52,5.7272727272727275,1.6739764335716711,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Woodruff C.,van Lottum J.,0,56,66,-10,0.8484848484848485,-0.16164135155641546,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Balcells J.,Haas T.,1,211,11,200,19.181818181818183,2.871679624884012,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Behrend T.,Schalken S.,0,115,37,78,3.108108108108108,1.1160040313799788,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Ferrero J.C.,Martin A.,1,45,48,-3,0.9375,-0.06317890162153139,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Gambill J.M.,Norman M.,0,57,14,43,4.071428571428571,1.352392809444209,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Gustafsson M.,Johansson T.,1,60,43,17,1.3953488372093024,0.32668423025505033,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Novak J.,Gaudio G.,0,38,72,-34,0.5277777777777778,-0.6268977950187447,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Rosset M.,van Lottum J.,1,46,66,-20,0.696969696969697,-0.3545450176809073,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Sell M.,Chang M.,0,167,50,117,3.34,1.192138346678933,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Balcells J.,Ferrero J.C.,1,211,45,166,4.688888888888889,1.5279448781829172,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Norman M.,Rosset M.,1,14,46,-32,0.30434782608695654,-1.1420974006078484,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Schalken S.,Gaudio G.,0,37,72,-35,0.5138888888888888,-0.6528732814220053,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Balcells J.,Chang M.,0,211,50,161,4.22,1.4247606419476866,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
2000-01-10,Norman M.,Gaudio G.,1,14,72,-58,0.19444444444444445,-1.5824092400461809,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
2000-01-10,Chang M.,Norman M.,0,50,14,36,3.5714285714285716,1.2237754316221157,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
2000-01-10,Arazi H.,Mantilla F.,1,42,25,17,1.68,0.5031035776720802,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Clement A.,Zabaleta M.,1,55,32,23,1.71875,0.5288441292686694,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Costa A.,Ilie A.,0,18,47,-29,0.3829787234042553,-0.9267620317414509,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Damm M.,Kucera K.,0,88,17,71,5.176470588235294,1.5982646118359751,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Diaz J.,Stoltenberg J.,0,84,94,-10,0.8936170212765957,-0.1112256351102241,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Dosedel S.,Woodforde M.,1,69,128,-59,0.5390625,-0.6113171623123126,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Grosjean S.,Hewitt L.,0,27,21,6,1.2857142857142858,0.24116205681688774,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Hrbaty D.,Ullyett K.,1,23,193,-170,0.11917098445595854,-2.0898043287153825,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Koubek S.,Meligeni F.,1,40,29,11,1.3793103448275863,0.3123746850421525,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Kuerten G.,Clavet F.,0,5,39,-34,0.1282051282051282,-1.8971199848858813,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Lapentti N.,El Aynaoui Y.,1,7,31,-24,0.22580645161290322,-1.3862943611198908,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Martin T.,Medvedev A.,1,8,33,-25,0.24242424242424243,-1.329135947279942,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Pioline C.,Corretja A.,0,15,28,-13,0.5357142857142857,-0.594707107746693,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Safin M.,Ljubicic I.,0,24,79,-55,0.3037974683544304,-1.1631508098056806,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Spadea V.,Voinea A.,0,20,102,-82,0.19607843137254902,-1.5902065505062128,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Vacek D.,Lisnard J.,1,41,127,-86,0.3228346456692913,-1.1143606456362485,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Clement A.,Kucera K.,0,55,17,38,3.235294117647059,1.1349799328389851,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Corretja A.,Arazi H.,1,28,42,-14,0.6666666666666666,-0.39390428570708824,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Hewitt L.,Clavet F.,1,21,39,-18,0.5384615384615384,-0.5978370007556202,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Ilie A.,Dosedel S.,0,47,69,-22,0.6811594202898551,-0.3772942311414682,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Lapentti N.,Koubek S.,1,7,40,-33,0.175,-1.6341305250244722,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Martin T.,Ljubicic I.,0,8,79,-71,0.10126582278481013,-2.1848020573376616,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Stoltenberg J.,Hrbaty D.,1,94,23,71,4.086956521739131,1.375823061252595,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Vacek D.,Voinea A.,0,41,102,-61,0.4019607843137255,-0.8970593699462674,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Corretja A.,Dosedel S.,1,28,69,-41,0.4057971014492754,-0.8811994120628852,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Lapentti N.,Stoltenberg J.,0,7,94,-87,0.07446808510638298,-2.474435349920705,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Ljubicic I.,Kucera K.,1,79,17,62,4.647058823529412,1.4916548767777167,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Voinea A.,Hewitt L.,0,102,21,81,4.857142857142857,1.5436865348713198,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
2000-01-10,Hewitt L.,Corretja A.,1,21,28,-7,0.75,-0.2762533766281581,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
2000-01-10,Ljubicic I.,Stoltenberg J.,0,79,94,-15,0.8404255319148937,-0.17185025692665956,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
2000-01-10,Hewitt L.,Stoltenberg J.,1,21,94,-73,0.22340425531914893,-1.4628344382422247,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
2000-01-17,Alami K.,Manta L.,1,35,107,-72,0.32710280373831774,-1.09861228866811,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
2000-01-17,Alonso J.,Arazi H.,0,111,41,70,2.707317073170732,0.9808292530117257,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
2000-01-17,Behrend T.,Meligeni F.,1,106,28,78,3.7857142857142856,1.3055330044754316,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
2000-01-17,Berasategui A.,Vicente F.,0,59,55,4,1.0727272727272728,0.06899287148695077,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
2000-01-17,Black B.,Martin T.,0,71,9,62,7.888888888888889,1.9740810260220094,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
2000-01-17,Black W.,Gambill J.M.,1,151,57,94,2.6491228070175437,0.9634375102998574,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
2000-01-17,Blanco G.,Schalken S.,0,77,47,30,1.6382978723404256,0.48550781578170055,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
